"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"3",1,2,0
"4",1,3,0
"5",1,4,0
"6",1,5,2.99291791222742
"7",1,6,0.679032338062263
"8",1,7,1.51671844085935
"9",1,8,2.81133130885096
"10",1,9,0
"11",1,10,0
"12",1,11,0
"13",1,12,0
"14",1,13,0
"15",1,14,0
"16",1,15,0
"17",1,16,0
"18",1,17,0
"19",1,18,0
"20",1,19,0
"21",1,20,0
"22",1,21,0
"23",1,22,0
"24",1,23,0
"25",1,24,0
"26",1,25,0
"27",1,26,0
"28",1,27,0
"29",1,28,0
"30",1,29,0
"31",1,30,0
"32",1,31,0
"33",1,32,0
"34",2,0,0
"35",2,1,0
"36",2,2,0
"37",2,3,0
"38",2,4,0.0171654118228264
"39",2,5,0.51283729964853
"40",2,6,0.00823215047511412
"41",2,7,1.83910252035161
"42",2,8,0.405830490876468
"43",2,9,0
"44",2,10,0
"45",2,11,0
"46",2,12,0
"47",2,13,5.21683212682546
"48",2,14,0
"49",2,15,0
"50",2,16,0
"51",2,17,0
"52",2,18,0
"53",2,19,0
"54",2,20,0
"55",2,21,0
"56",2,22,0
"57",2,23,0
"58",2,24,0
"59",2,25,0
"60",2,26,0
"61",2,27,0
"62",2,28,0
"63",2,29,0
"64",2,30,0
"65",2,31,0
"66",2,32,0
"67",3,0,0
"68",3,1,0
"69",3,2,0.261133583245057
"70",3,3,0.528996329622592
"71",3,4,3.88323675497655
"72",3,5,0
"73",3,6,1.73942586272537
"74",3,7,0
"75",3,8,0
"76",3,9,0
"77",3,10,0
"78",3,11,0
"79",3,12,0.585791051875911
"80",3,13,1.00141641755452
"81",3,14,0
"82",3,15,0
"83",3,16,0
"84",3,17,0
"85",3,18,0
"86",3,19,0
"87",3,20,0
"88",3,21,0
"89",3,22,0
"90",3,23,0
"91",3,24,0
"92",3,25,0
"93",3,26,0
"94",3,27,0
"95",3,28,0
"96",3,29,0
"97",3,30,0
"98",3,31,0
"99",3,32,0
"100",4,0,0
"101",4,1,0
"102",4,2,0.162365852040419
"103",4,3,0.00637854678257503
"104",4,4,0.0520682837557529
"105",4,5,0.139024342695303
"106",4,6,0.972520684348308
"107",4,7,1.80278036568907
"108",4,8,4.86486192468857
"109",4,9,0
"110",4,10,0
"111",4,11,0
"112",4,12,0
"113",4,13,0
"114",4,14,0
"115",4,15,0
"116",4,16,0
"117",4,17,0
"118",4,18,0
"119",4,19,0
"120",4,20,0
"121",4,21,0
"122",4,22,0
"123",4,23,0
"124",4,24,0
"125",4,25,0
"126",4,26,0
"127",4,27,0
"128",4,28,0
"129",4,29,0
"130",4,30,0
"131",4,31,0
"132",4,32,0
"133",5,0,0
"134",5,1,0
"135",5,2,0
"136",5,3,0
"137",5,4,0
"138",5,5,0.625065053866553
"139",5,6,2.16368672492269
"140",5,7,0.889515653579326
"141",5,8,1.87519516159966
"142",5,9,0
"143",5,10,0
"144",5,11,0
"145",5,12,0
"146",5,13,0
"147",5,14,0
"148",5,15,0.0721228908307562
"149",5,16,0
"150",5,17,0
"151",5,18,0
"152",5,19,0
"153",5,20,0
"154",5,21,0
"155",5,22,0
"156",5,23,0
"157",5,24,0
"158",5,25,0.240409636102521
"159",5,26,0
"160",5,27,0
"161",5,28,0
"162",5,29,0
"163",5,30,0
"164",5,31,0
"165",5,32,0
"166",6,0,0
"167",6,1,0
"168",6,2,0
"169",6,3,0
"170",6,4,0
"171",6,5,0.0172459515305393
"172",6,6,3.97423272115205
"173",6,7,0
"174",6,8,0
"175",6,9,0
"176",6,10,0
"177",6,11,0
"178",6,12,0
"179",6,13,0
"180",6,14,0
"181",6,15,0
"182",6,16,0
"183",6,17,0.415921666873932
"184",6,18,0
"185",6,19,0
"186",6,20,0
"187",6,21,0
"188",6,22,0
"189",6,23,2.59046932861413
"190",6,24,1.00213033182935
"191",6,25,0
"192",6,26,0
"193",6,27,0
"194",6,28,0
"195",6,29,0
"196",6,30,0
"197",6,31,0
"198",6,32,0
"199",7,0,0
"200",7,1,0
"201",7,2,0
"202",7,3,0
"203",7,4,0.497535311428832
"204",7,5,0.503881106125684
"205",7,6,0.722920655283941
"206",7,7,0.409384584918454
"207",7,8,0.0767298093312245
"208",7,9,0
"209",7,10,0
"210",7,11,0
"211",7,12,0
"212",7,13,0
"213",7,14,0
"214",7,15,0
"215",7,16,0.0810346118855401
"216",7,17,0.0858513033244007
"217",7,18,0
"218",7,19,0
"219",7,20,0.486114394249678
"220",7,21,0
"221",7,22,0
"222",7,23,1.43086713753495
"223",7,24,0
"224",7,25,0.701431833253747
"225",7,26,2.00283283510903
"226",7,27,1.00141641755452
"227",7,28,0
"228",7,29,0
"229",7,30,0
"230",7,31,0
"231",7,32,0
"232",8,0,0
"233",8,1,0
"234",8,2,0
"235",8,3,0
"236",8,4,0
"237",8,5,0.338111224895179
"238",8,6,1.44364023072485
"239",8,7,2.75391692606939
"240",8,8,3.46433161831058
"241",8,9,0
"242",8,10,0
"243",8,11,0
"244",8,12,0
"245",8,13,0
"246",8,14,0
"247",8,15,0
"248",8,16,0
"249",8,17,0
"250",8,18,0
"251",8,19,0
"252",8,20,0
"253",8,21,0
"254",8,22,0
"255",8,23,0
"256",8,24,0
"257",8,25,0
"258",8,26,0
"259",8,27,0
"260",8,28,0
"261",8,29,0
"262",8,30,0
"263",8,31,0
"264",8,32,0
"265",9,0,0
"266",9,1,0
"267",9,2,0
"268",9,3,0
"269",9,4,0
"270",9,5,1.78175145562003
"271",9,6,3.89303162977869
"272",9,7,2.32521691460128
"273",9,8,0
"274",9,9,0
"275",9,10,0
"276",9,11,0
"277",9,12,0
"278",9,13,0
"279",9,14,0
"280",9,15,0
"281",9,16,0
"282",9,17,0
"283",9,18,0
"284",9,19,0
"285",9,20,0
"286",9,21,0
"287",9,22,0
"288",9,23,0
"289",9,24,0
"290",9,25,0
"291",9,26,0
"292",9,27,0
"293",9,28,0
"294",9,29,0
"295",9,30,0
"296",9,31,0
"297",9,32,0
"298",10,0,0
"299",10,1,0
"300",10,2,1.64664401286091
"301",10,3,0.668846496911967
"302",10,4,0
"303",10,5,5.68450949022712
"304",10,6,0
"305",10,7,0
"306",10,8,0
"307",10,9,0
"308",10,10,0
"309",10,11,0
"310",10,12,0
"311",10,13,0
"312",10,14,0
"313",10,15,0
"314",10,16,0
"315",10,17,0
"316",10,18,0
"317",10,19,0
"318",10,20,0
"319",10,21,0
"320",10,22,0
"321",10,23,0
"322",10,24,0
"323",10,25,0
"324",10,26,0
"325",10,27,0
"326",10,28,0
"327",10,29,0
"328",10,30,0
"329",10,31,0
"330",10,32,0
"331",11,0,0
"332",11,1,0
"333",11,2,0.212583961303359
"334",11,3,0
"335",11,4,0
"336",11,5,1.0486699565056
"337",11,6,0.856602012096723
"338",11,7,1.11417802504267
"339",11,8,0
"340",11,9,0
"341",11,10,0
"342",11,11,0
"343",11,12,0
"344",11,13,0
"345",11,14,0
"346",11,15,0
"347",11,16,0
"348",11,17,0
"349",11,18,0
"350",11,19,0
"351",11,20,0.162159111730427
"352",11,21,4.60580693332123
"353",11,22,0
"354",11,23,0
"355",11,24,0
"356",11,25,0
"357",11,26,0
"358",11,27,0
"359",11,28,0
"360",11,29,0
"361",11,30,0
"362",11,31,0
"363",11,32,0
"364",12,0,0
"365",12,1,0
"366",12,2,0
"367",12,3,0
"368",12,4,0
"369",12,5,0.111482880440929
"370",12,6,2.00243741842711
"371",12,7,3.09986377551039
"372",12,8,0
"373",12,9,0
"374",12,10,0
"375",12,11,0
"376",12,12,0
"377",12,13,0
"378",12,14,0
"379",12,15,0
"380",12,16,0
"381",12,17,0
"382",12,18,0
"383",12,19,0
"384",12,20,0.220717836991912
"385",12,21,2.56549808862965
"386",12,22,0
"387",12,23,0
"388",12,24,0
"389",12,25,0
"390",12,26,0
"391",12,27,0
"392",12,28,0
"393",12,29,0
"394",12,30,0
"395",12,31,0
"396",12,32,0
"397",13,0,0
"398",13,1,0
"399",13,2,0
"400",13,3,0
"401",13,4,0
"402",13,5,2.16354967277984
"403",13,6,4.10519681501816
"404",13,7,0.221902530541522
"405",13,8,0
"406",13,9,0
"407",13,10,0
"408",13,11,0
"409",13,12,0
"410",13,13,0
"411",13,14,0
"412",13,15,0
"413",13,16,0
"414",13,17,0
"415",13,18,0
"416",13,19,0
"417",13,20,0.0832134489530709
"418",13,21,0.416067244765354
"419",13,22,0.0277378163176903
"420",13,23,0
"421",13,24,0
"422",13,25,0
"423",13,26,0.0277378163176903
"424",13,27,0.0832134489530709
"425",13,28,0.166426897906142
"426",13,29,0.0277378163176903
"427",13,30,0
"428",13,31,0
"429",13,32,0
"430",14,0,0
"431",14,1,0
"432",14,2,0
"433",14,3,0
"434",14,4,0
"435",14,5,5.5878323423239
"436",14,6,1.98742490525953
"437",14,7,0
"438",14,8,0
"439",14,9,0
"440",14,10,0
"441",14,11,0
"442",14,12,0
"443",14,13,0
"444",14,14,0
"445",14,15,0
"446",14,16,0
"447",14,17,0
"448",14,18,0
"449",14,19,0
"450",14,20,0.028803259496515
"451",14,21,0
"452",14,22,0
"453",14,23,0
"454",14,24,0
"455",14,25,0.028803259496515
"456",14,26,0
"457",14,27,0
"458",14,28,0
"459",14,29,0
"460",14,30,0
"461",14,31,0
"462",14,32,0
"463",15,0,0
"464",15,1,0
"465",15,2,0
"466",15,3,0
"467",15,4,0.540325228766517
"468",15,5,2.68084440426464
"469",15,6,0
"470",15,7,0
"471",15,8,0
"472",15,9,0
"473",15,10,0
"474",15,11,0
"475",15,12,0
"476",15,13,0
"477",15,14,0
"478",15,15,0
"479",15,16,0
"480",15,17,0
"481",15,18,0
"482",15,19,0
"483",15,20,0
"484",15,21,0.914396540989491
"485",15,22,0.103908697839715
"486",15,23,0.519543489198574
"487",15,24,0.0831269582717719
"488",15,25,0.0623452187038289
"489",15,26,0.311726093519144
"490",15,27,0
"491",15,28,0
"492",15,29,0
"493",15,30,0
"494",15,31,0
"495",15,32,0
"496",16,0,0
"497",16,1,0
"498",16,2,1.89655963046139
"499",16,3,0
"500",16,4,1.49455177815119
"501",16,5,3.61641845384619
"502",16,6,0
"503",16,7,0
"504",16,8,0
"505",16,9,0
"506",16,10,0
"507",16,11,0
"508",16,12,0
"509",16,13,0
"510",16,14,0
"511",16,15,0
"512",16,16,0
"513",16,17,0
"514",16,18,0
"515",16,19,0
"516",16,20,0
"517",16,21,0.992470137541232
"518",16,22,0
"519",16,23,0
"520",16,24,0
"521",16,25,0
"522",16,26,0
"523",16,27,0
"524",16,28,0
"525",16,29,0
"526",16,30,0
"527",16,31,0
"528",16,32,0
"529",17,0,0
"530",17,1,0
"531",17,2,2.47708031670029
"532",17,3,1.67058905079787
"533",17,4,0.979310822881509
"534",17,5,0.144016297482575
"535",17,6,0
"536",17,7,0
"537",17,8,0
"538",17,9,0
"539",17,10,0
"540",17,11,0
"541",17,12,0
"542",17,13,0
"543",17,14,0
"544",17,15,0.259229335468635
"545",17,16,0.432048892447724
"546",17,17,0
"547",17,18,0
"548",17,19,0
"549",17,20,0
"550",17,21,0.0576065189930299
"551",17,22,0.0864097784895449
"552",17,23,0.518458670937269
"553",17,24,0.864097784895449
"554",17,25,0
"555",17,26,0.0576065189930299
"556",17,27,0.0864097784895449
"557",17,28,0
"558",17,29,0
"559",17,30,0
"560",17,31,0
"561",17,32,0
"562",18,0,0
"563",18,1,0
"564",18,2,0.213585410060865
"565",18,3,0.773532079206894
"566",18,4,0.971257427399375
"567",18,5,4.0566848082504
"568",18,6,0
"569",18,7,1.98494027508246
"570",18,8,0
"571",18,9,0
"572",18,10,0
"573",18,11,0
"574",18,12,0
"575",18,13,0
"576",18,14,0
"577",18,15,0
"578",18,16,0
"579",18,17,0
"580",18,18,0
"581",18,19,0
"582",18,20,0
"583",18,21,0
"584",18,22,0
"585",18,23,0
"586",18,24,0
"587",18,25,0
"588",18,26,0
"589",18,27,0
"590",18,28,0
"591",18,29,0
"592",18,30,0
"593",18,31,0
"594",18,32,0
"595",19,0,0
"596",19,1,0
"597",19,2,0.472151223664183
"598",19,3,0.382388974004262
"599",19,4,0.019614440230887
"600",19,5,0.0198868717106911
"601",19,6,0
"602",19,7,0
"603",19,8,0
"604",19,9,0
"605",19,10,0
"606",19,11,0
"607",19,12,0
"608",19,13,0
"609",19,14,0
"610",19,15,0
"611",19,16,0
"612",19,17,0
"613",19,18,0
"614",19,19,0
"615",19,20,0
"616",19,21,0.0930759796577346
"617",19,22,0
"618",19,23,5.43985455964382
"619",19,24,1.57302795108842
"620",19,25,0
"621",19,26,0
"622",19,27,0
"623",19,28,0
"624",19,29,0
"625",19,30,0
"626",19,31,0
"627",19,32,0
"628",20,0,0
"629",20,1,0
"630",20,2,0
"631",20,3,6.42591490648579
"632",20,4,0
"633",20,5,0
"634",20,6,0
"635",20,7,0
"636",20,8,0
"637",20,9,0
"638",20,10,0
"639",20,11,0
"640",20,12,0
"641",20,13,0
"642",20,14,0
"643",20,15,0
"644",20,16,0
"645",20,17,0
"646",20,18,0
"647",20,19,0
"648",20,20,0
"649",20,21,0
"650",20,22,0
"651",20,23,0
"652",20,24,0
"653",20,25,1.57408509351421
"654",20,26,0
"655",20,27,0
"656",20,28,0
"657",20,29,0
"658",20,30,0
"659",20,31,0
"660",20,32,0
"661",21,0,0
"662",21,1,0
"663",21,2,0
"664",21,3,2.17443514367205
"665",21,4,0
"666",21,5,0
"667",21,6,0
"668",21,7,0
"669",21,8,0
"670",21,9,0
"671",21,10,0
"672",21,11,0
"673",21,12,0
"674",21,13,0
"675",21,14,0
"676",21,15,0
"677",21,16,0
"678",21,17,0
"679",21,18,0
"680",21,19,0
"681",21,20,0
"682",21,21,0
"683",21,22,0
"684",21,23,0
"685",21,24,0
"686",21,25,0
"687",21,26,0
"688",21,27,0
"689",21,28,0
"690",21,29,0
"691",21,30,0
"692",21,31,0
"693",21,32,0
"694",22,0,0
"695",22,1,0
"696",22,2,0
"697",22,3,2.35294587820721
"698",22,4,1.08597502071102
"699",22,5,0.0723983347140679
"700",22,6,0
"701",22,7,0
"702",22,8,0
"703",22,9,0
"704",22,10,0
"705",22,11,0
"706",22,12,0
"707",22,13,0
"708",22,14,0
"709",22,15,0
"710",22,16,0
"711",22,17,0
"712",22,18,0
"713",22,19,0
"714",22,20,0
"715",22,21,0
"716",22,22,0
"717",22,23,0
"718",22,24,0.0361991673570339
"719",22,25,0.0542987510355509
"720",22,26,0
"721",22,27,0
"722",22,28,0
"723",22,29,0
"724",22,30,0
"725",22,31,0
"726",22,32,0
"727",23,0,0
"728",23,1,0
"729",23,2,0.0966490479849358
"730",23,3,0.485066146457878
"731",23,4,0.452788719759128
"732",23,5,1.6743722035335
"733",23,6,4.27544651442891
"734",23,7,0
"735",23,8,1.01567736783565
"736",23,9,0
"737",23,10,0
"738",23,11,0
"739",23,12,0
"740",23,13,0
"741",23,14,0
"742",23,15,0
"743",23,16,0
"744",23,17,0
"745",23,18,0
"746",23,19,0
"747",23,20,0
"748",23,21,0
"749",23,22,0
"750",23,23,0
"751",23,24,0
"752",23,25,0
"753",23,26,0
"754",23,27,0
"755",23,28,0
"756",23,29,0
"757",23,30,0
"758",23,31,0
"759",23,32,0
"760",24,0,0
"761",24,1,0
"762",24,2,0
"763",24,3,0.0771998309499627
"764",24,4,1.91861529979159
"765",24,5,4.98771355121469
"766",24,6,1.01647131804375
"767",24,7,0
"768",24,8,0
"769",24,9,0
"770",24,10,0
"771",24,11,0
"772",24,12,0
"773",24,13,0
"774",24,14,0
"775",24,15,0
"776",24,16,0
"777",24,17,0
"778",24,18,0
"779",24,19,0
"780",24,20,0
"781",24,21,0
"782",24,22,0
"783",24,23,0
"784",24,24,0
"785",24,25,0
"786",24,26,0
"787",24,27,0
"788",24,28,0
"789",24,29,0
"790",24,30,0
"791",24,31,0
"792",24,32,0
"793",25,0,0
"794",25,1,0
"795",25,2,0
"796",25,3,0
"797",25,4,0.48309425448795
"798",25,5,1.29153170414166
"799",25,6,5.20969667353475
"800",25,7,0
"801",25,8,0
"802",25,9,0
"803",25,10,0
"804",25,11,0
"805",25,12,0
"806",25,13,0
"807",25,14,0
"808",25,15,0
"809",25,16,0
"810",25,17,0
"811",25,18,0
"812",25,19,0
"813",25,20,0
"814",25,21,1.01567736783565
"815",25,22,0
"816",25,23,0
"817",25,24,0
"818",25,25,0
"819",25,26,0
"820",25,27,0
"821",25,28,0
"822",25,29,0
"823",25,30,0
"824",25,31,0
"825",25,32,0
"826",26,0,0
"827",26,1,0
"828",26,2,0
"829",26,3,0
"830",26,4,0
"831",26,5,1.63496674155915
"832",26,6,1.59090301784918
"833",26,7,0.907086014940112
"834",26,8,0
"835",26,9,0
"836",26,10,0
"837",26,11,0
"838",26,12,0
"839",26,13,0
"840",26,14,0
"841",26,15,0
"842",26,16,0
"843",26,17,0
"844",26,18,0
"845",26,19,0
"846",26,20,0
"847",26,21,0
"848",26,22,0
"849",26,23,0
"850",26,24,0
"851",26,25,0
"852",26,26,3.86704422565156
"853",26,27,0
"854",26,28,0
"855",26,29,0
"856",26,30,0
"857",26,31,0
"858",26,32,0
"859",27,0,0
"860",27,1,0
"861",27,2,0
"862",27,3,0
"863",27,4,0.179791171958234
"864",27,5,1.72138091977924
"865",27,6,1.7809314297182
"866",27,7,0
"867",27,8,0
"868",27,9,0
"869",27,10,0
"870",27,11,0
"871",27,12,0
"872",27,13,0
"873",27,14,0
"874",27,15,0
"875",27,16,0
"876",27,17,0
"877",27,18,0
"878",27,19,0
"879",27,20,0
"880",27,21,0
"881",27,22,0
"882",27,23,0
"883",27,24,0
"884",27,25,0
"885",27,26,2.70682755638637
"886",27,27,0
"887",27,28,1.61106892215796
"888",27,29,0
"889",27,30,0
"890",27,31,0
"891",27,32,0
"892",28,0,0
"893",28,1,0
"894",28,2,0.415322050856838
"895",28,3,0.157148237829786
"896",28,4,1.52913074999052
"897",28,5,0.108591352895534
"898",28,6,3.43147779270848
"899",28,7,1.34265244788319
"900",28,8,0
"901",28,9,0
"902",28,10,0
"903",28,11,0
"904",28,12,0
"905",28,13,0
"906",28,14,0
"907",28,15,0
"908",28,16,0
"909",28,17,0
"910",28,18,0
"911",28,19,0
"912",28,20,0
"913",28,21,0
"914",28,22,0
"915",28,23,0
"916",28,24,0
"917",28,25,0
"918",28,26,0
"919",28,27,0
"920",28,28,1.01567736783565
"921",28,29,0
"922",28,30,0
"923",28,31,0
"924",28,32,0
"925",29,0,0
"926",29,1,0
"927",29,2,0
"928",29,3,1.13975529844335
"929",29,4,0.42333768227896
"930",29,5,2.54002609367376
"931",29,6,1.49796410652555
"932",29,7,1.72591516621422
"933",29,8,0
"934",29,9,0
"935",29,10,0
"936",29,11,0
"937",29,12,0
"938",29,13,0
"939",29,14,0
"940",29,15,0
"941",29,16,0
"942",29,17,0
"943",29,18,0
"944",29,19,0
"945",29,20,0
"946",29,21,0
"947",29,22,0
"948",29,23,0
"949",29,24,0
"950",29,25,0
"951",29,26,0
"952",29,27,0.195386622590289
"953",29,28,0.0651288741967631
"954",29,29,0
"955",29,30,0
"956",29,31,0
"957",29,32,0
"958",30,0,0
"959",30,1,0
"960",30,2,0
"961",30,3,0
"962",30,4,0
"963",30,5,2.22345778214234
"964",30,6,0.130791634243667
"965",30,7,0.948239348266587
"966",30,8,0
"967",30,9,0
"968",30,10,0
"969",30,11,0
"970",30,12,0
"971",30,13,0
"972",30,14,0
"973",30,15,0
"974",30,16,0
"975",30,17,0
"976",30,18,0
"977",30,19,0
"978",30,20,0.261583268487334
"979",30,21,0
"980",30,22,0.425072811291918
"981",30,23,0.0653958171218336
"982",30,24,0
"983",30,25,0.523166536974669
"984",30,26,1.83108287941134
"985",30,27,0
"986",30,28,0.0980937256827504
"987",30,29,0.588562354096502
"988",30,30,0.490468628413752
"989",30,31,0
"990",30,32,0
"991",31,0,0
"992",31,1,0
"993",31,2,0
"994",31,3,0
"995",31,4,0.226449321998354
"996",31,5,0
"997",31,6,0
"998",31,7,0
"999",31,8,0
"1000",31,9,0
"1001",31,10,0
"1002",31,11,0
"1003",31,12,0
"1004",31,13,0
"1005",31,14,0
"1006",31,15,0
"1007",31,16,0
"1008",31,17,0
"1009",31,18,0
"1010",31,19,0
"1011",31,20,0.00572400126312622
"1012",31,21,0.357055975352239
"1013",31,22,0
"1014",31,23,0.156066588411984
"1015",31,24,0.292337177709973
"1016",31,25,0.207386634527599
"1017",31,26,1.90974668665231
"1018",31,27,0.046265271907339
"1019",31,28,0.148659934258289
"1020",31,29,1.26696359998182
"1021",31,30,1.83324200529737
"1022",31,31,0
"1023",31,32,1.5501028026396
"1024",32,0,0
"1025",32,1,0
"1026",32,2,0.771292962213064
"1027",32,3,0.372348326585617
"1028",32,4,0
"1029",32,5,1.99472317813723
"1030",32,6,0.691504035087574
"1031",32,7,0.0531926180836596
"1032",32,8,0
"1033",32,9,0
"1034",32,10,0
"1035",32,11,0
"1036",32,12,0
"1037",32,13,0.239366781376468
"1038",32,14,0.106385236167319
"1039",32,15,0
"1040",32,16,0
"1041",32,17,0
"1042",32,18,0
"1043",32,19,0
"1044",32,20,0.265963090418298
